0, 0, 0, 0
1, 1, 1, 1
2, 4, 8, 16
3, 9, 27, 81
4, 16, 64, 256
5, 25, 125, 625
6, 36, 216, 1296
7, 49, 343, 2401
8, 64, 512, 4096
9, 81, 729, 6561
10, 100, 1000, 10000
11, 121, 1331, 14641
12, 144, 1728, 20736
13, 169, 2197, 28561
14, 196, 2744, 38416
15, 225, 3375, 50625
16, 256, 4096, 65536
17, 289, 4913, 83521
18, 324, 5832, 104976
19, 361, 6859, 130321
20, 400, 8000, 160000
21, 441, 9261, 194481
22, 484, 10648, 234256
23, 529, 12167, 279841
24, 576, 13824, 331776
25, 625, 15625, 390625
26, 676, 17576, 456976
27, 729, 19683, 531441
28, 784, 21952, 614656
29, 841, 24389, 707281
30, 900, 27000, 810000
31, 961, 29791, 923521
32, 1024, 32768, 1048576
33, 1089, 35937, 1185921
34, 1156, 39304, 1336336
35, 1225, 42875, 1500625
36, 1296, 46656, 1679616
37, 1369, 50653, 1874161
38, 1444, 54872, 2085136
39, 1521, 59319, 2313441
